Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep10,ep11
wangmanjun,Banana Culture,C,D,,96,96,96,-,-,-,-,-
zhangyuwen,Rhonin Studio,B,D,,99,98,97,-,-,-,-,-
yankexin,ETM 活力時代,C,D,,97,97,98,-,-,-,-,-
wangjuemeng,Lajin Entertainment,C,D,,100,99,99,-,-,-,-,-
qiuluqing,H&R Century Pictures,D,F,,101,100,100,-,-,-,-,-
Cindy,Real Show,F,F,,15,-,-,-,-,-,-,-
Abby,Real Show,F,F,,23,-,-,-,-,-,-,-
Dora,Real Show,F,F,,68,-,-,-,-,-,-,-
zhengchengcheng,Comic Communication Lead Culture Media,C,F,,93,-,-,-,-,-,-,-
zhaoling,Wen Lan Culture,F,F,,98,-,-,-,-,-,-,-
